shirt: Simple cartoon drawing of a shirt, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the shirt, in a clean, child-friendly style.
t-shirt: Simple cartoon drawing of a t-shirt, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the t-shirt, in a clean, child-friendly style.
t-shirt: Simple cartoon drawing of a t-shirt, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the t-shirt, in a clean, child-friendly style.
jacket: Simple cartoon drawing of a jacket, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the jacket, in a clean, child-friendly style.
sweater: Simple cartoon drawing of a sweater, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the sweater, in a clean, child-friendly style.
dress: Simple cartoon drawing of a dress, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the dress, in a clean, child-friendly style.
skirt: Simple cartoon drawing of a skirt, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the skirt, in a clean, child-friendly style.
jeans: Simple cartoon drawing of a jeans, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the jeans, in a clean, child-friendly style.
trousers: Simple cartoon drawing of a trousers, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the trousers, in a clean, child-friendly style.
shorts: Simple cartoon drawing of a shorts, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the shorts, in a clean, child-friendly style.
socks: Simple cartoon drawing of a socks, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the socks, in a clean, child-friendly style.
shoes: Simple cartoon drawing of a shoes, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the shoes, in a clean, child-friendly style.
boots: Simple cartoon drawing of a boots, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the boots, in a clean, child-friendly style.
sandals: Simple cartoon drawing of a sandals, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the sandals, in a clean, child-friendly style.
hat: Simple cartoon drawing of a hat, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the hat, in a clean, child-friendly style.
cap: Simple cartoon drawing of a cap, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the cap, in a clean, child-friendly style.
scarf: Simple cartoon drawing of a scarf, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the scarf, in a clean, child-friendly style.
gloves: Simple cartoon drawing of a gloves, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the gloves, in a clean, child-friendly style.
belt: Simple cartoon drawing of a belt, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the belt, in a clean, child-friendly style.
tie: Simple cartoon drawing of a tie, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the tie, in a clean, child-friendly style.
watch: Simple cartoon drawing of a watch, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the watch, in a clean, child-friendly style.
sunglasses: Simple cartoon drawing of a sunglasses, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the sunglasses, in a clean, child-friendly style.
handbag: Simple cartoon drawing of a handbag, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the handbag, in a clean, child-friendly style.
backpack: Simple cartoon drawing of a backpack, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the backpack, in a clean, child-friendly style.
wallet: Simple cartoon drawing of a wallet, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the wallet, in a clean, child-friendly style.
earrings: Simple cartoon drawing of a earrings, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the earrings, in a clean, child-friendly style.
necklace: Simple cartoon drawing of a necklace, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the necklace, in a clean, child-friendly style.
ring: Simple cartoon drawing of a ring, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the ring, in a clean, child-friendly style.
umbrella: Simple cartoon drawing of a umbrella, centered on a plain light gray background. No text. No extra objects. Thick black outlines. Only the umbrella, in a clean, child-friendly style.
